Player ;Score; Price  ;Age
Immobile ;36;40000000;30
Cristiano Ronaldo;31;100000000;35
Lukaku;23;80000000;27
Caputo;21;30000000;33
Joao Pedro;18;15000000;28
Muriel;18;25000000;29
Zapata;18;40000000;29
Belotti;16;40000000;26
Dzeko;16;45000000;34
Ilicic;15;20000000;32
Martinez;14;89000000;23
Berardi;14;50000000;26
Mancosu;14;10000000;32
Petagna;12;12000000;25
Simeone;12;25000000;25
Cornelius;12;10000000;27
Boga;11;10000000;23
Rebic;11;10000000;26
Quagliarella;11;10000000;37
Milik;11;35000000;26
Gabbiadini;11;25000000;28
Dybala;11;70000000;26
Lapadula;11;10000000;30
Kulusevski;10;20000000;20
Lasagna;10;15000000;28
Chiesa;10;40000000;22
Ibrahimovic;10;15000000;38
Gosens;9;7000000;27
Caicedo;9;8000000;28
Mertens;9;7000000;29
Pandev;9;8000000;27
Mkhitaryan;9;7000000;28
Barrow;9;8000000;29
Correa;9;7000000;27
Calhanoglu;9;8000000;28
Pasalic;9;7000000;29
Di Carmine;8;8000000;27
Criscito;8;7000000;28
Orsolini;8;8000000;29
Insigne;8;7000000;27
Okaka;8;8000000;28
